class,ap_extra,ap_aug,ap_baseline
!,0.55,0.1571428571,0.2
(,0.6663339428,0.7428596495,0.5921531405
),0.7491140986,0.7503426899,0.7452693586
[,0.1,0.1571428571,0.1
],0.2,0.1833333333,0.2
\{,0.1,0.3,0
\},0.8,0.3,0
|,0.05,0.0384615385,0
+,0.6414240782,0.6457544325,0.6509265531
-,0.0720662768,0.100890538,0.0590676165
\times,0.4222768647,0.4207207207,0.0833333333
\div,0.6,0.6,0
/,0.29,0.1,0
=,0.7688133423,0.7775102595,0.7768533095
\rightarrow,0.7789473684,0.6497807018,0.2777777778
",",0.3216666667,0.2825116713,0.3376663642
.,0,0.0666666667,0.0035714286
0,0.4972214326,0.5828089412,0.5171082864
1,0.3949989996,0.4916418517,0.4156299026
2,0.549487079,0.652846452,0.5448277181
3,0.6792920254,0.6764229633,0.6724649044
4,0.6382098457,0.6740318627,0.5509947299
5,0.5626202795,0.5668067227,0.4701910421
6,0.4338461538,0.227173913,0.2454545455
7,0.4372727273,0.2818181818,0.2733333333
8,0.6761904762,0.4728506787,0.5789473684
9,0.4074886878,0.3095238095,0.3342215989
A,0.7972222222,0.6941176471,0.696969697
B,0.5842105263,0.5764705882,0.5
C,0.1266666667,0.0416666667,0.08
E,0.6976190476,0.7,0.5781746032
F,0.7,0.4857142857,0.6761904762
G,0.5888888889,0.2708333333,0.3769230769
H,0.792,0.7833333333,0.5549019608
I,0.7956521739,0.5947368421,0.4
L,0.6761538462,0.6762755763,0.4964285714
M,0.9,0.8,0.6
N,0.8,0.554679803,0.588
P,0.26,0.13,0.0875
R,0.7,0.6,0.4
S,0.3380791723,0.2,0.1
T,0.7,0.4967741935,0.3703296703
V,0.1875,0.1,0.17
X,0,0,0
Y,0.1333333333,0.05,0.1
a,0.5699111415,0.5676297994,0.5679981706
b,0.7487787796,0.7340923716,0.630304746
c,0.2920848968,0.3018064784,0.214346118
d,0.6876540439,0.7794188034,0.7746277169
e,0.3947368421,0.4875,0.3
f,0.5864320416,0.5506687648,0.5361068525
g,0.6514285714,0.6562200957,0.455
h,0.6362900258,0.6315384615,0.5
i,0,0.05,0.0357142857
j,0,0.08,0
k,0.5743912338,0.6448376948,0.5095819093
l,0.275,0.3,0
m,0.5856960409,0.4857142857,0.4876521739
n,0.5182300435,0.4951783652,0.4391558854
o,0.0333333333,0,0
p,0.5041571549,0.5423624847,0.5671916509
q,0.4194508009,0.4526153846,0.3735042735
r,0.434965035,0.446743295,0.3557142857
s,0.1095238095,0.1323577236,0.0814814815
t,0.5625786164,0.5587324625,0.4766666667
u,0.6344152661,0.577540107,0.4419047619
v,0.3676262626,0.3598015873,0.2557239057
w,0.4157894737,0.4111111111,0.20625
x,0.4413111375,0.5140532012,0.5597387812
y,0.5547506721,0.5655010037,0.5191295306
z,0.581092437,0.6866185897,0.4928571429
\infty,0.6947368421,0.8,0.8
\pi,0.6457013575,0.68,0.4866666667
\cos,0.455952381,0.3428571429,0.3512820513
\sin,0.5655122655,0.4698308271,0.5450217898
\tan,0.7,0.6,0.68
\theta,0.7,0.7952380952,0.6
\lim,0.9735576923,0.9,0.9866666667
\sum,1,1,1
\exists,0.5,0,0
\forall,0.3,0,0
\geq,0.8,1,0.625
\gt,0.7,0.7066666667,0.34
\leq,0.9,0.8846153846,0.6
\lt,0.8755244755,0.8,0.5842857143
\neq,0.5,0.8,0.4
\in,0.7,0.2,0
\Delta,0.6,0.5,0.3
\log,0.8,0.7,0.6116013072
\alpha,0.3,0.3,0.29
\beta,0.6333333333,0.5555555556,0.425
\gamma,0.8747474747,0.2166666667,0.1
\int,0.776,0.875,0.7739130435
\ldots,0.05,0,0
\lambda,0.2,0,0
\mu,0.4568181818,0.2,0
\phi,0.7,0.5,0.275
\pm,0.275,0.6,0.1
\prime,0,0,0
\sigma,0.5,0.5,0.5
\sqrt,0.6938461538,0.7849228896,0.7903275829
