cls,conf,correct,class
9,0.9702324867248535,False,-
18,0.9312189221382141,False,1
8,0.8368563652038574,True,+
17,0.8316202759742737,False,0
8,0.8243299126625061,False,+
60,0.7826873064041138,False,p
13,0.768967866897583,False,=
45,0.7639632225036621,False,a
45,0.7185224890708923,False,a
18,0.7110480666160583,False,1
8,0.6625235080718994,False,+
18,0.5997738242149353,False,1
9,0.586665153503418,False,-
8,0.5607674717903137,False,+
18,0.506195068359375,False,1
58,0.4727112948894501,False,n
45,0.41393041610717773,False,a
8,0.37592610716819763,True,+
58,0.3687833249568939,False,n
68,0.32491862773895264,False,x
68,0.31327253580093384,False,x
58,0.3064601719379425,False,n
69,0.23460878431797028,False,y
58,0.18742945790290833,False,n
18,0.12241693586111069,False,1
10,0.11273147910833359,False,\times
58,0.10455287247896194,False,n
1,0.9996579885482788,True,(
2,0.9992415904998779,True,)
13,0.9976716637611389,True,=
18,0.9116407036781311,True,1
47,0.8959915637969971,True,c
49,0.8829774260520935,True,e
66,0.3601677417755127,True,v
9,0.111798956990242,False,-
18,0.9992994070053101,True,1
2,0.9683765172958374,True,)
9,0.9452810287475586,True,-
1,0.9127865433692932,True,(
1,0.8811390995979309,False,(
68,0.8558194041252136,True,x
68,0.7964375019073486,True,x
65,0.7375473976135254,False,u
1,0.7301653027534485,False,(
2,0.6091383099555969,True,)
13,0.43290287256240845,True,=
53,0.26710930466651917,False,i
58,0.22691521048545837,False,n
60,0.2047782689332962,True,p
19,0.16631083190441132,False,2
18,0.1448782980442047,False,1
100,0.12128563970327377,False,\sqrt
53,0.1184728592634201,False,i
41,0.9804248213768005,True,T
41,0.9735205769538879,True,T
13,0.8952473402023315,True,=
41,0.886886477470398,True,T
17,0.8543621897697449,True,0
8,0.816135048866272,True,+
87,0.2984232008457184,True,\Delta
1,0.9973946809768677,True,(
2,0.9894797205924988,True,)
70,0.9129465818405151,True,z
27,0.9710241556167603,True,A
51,0.9597061276435852,True,g
55,0.930755078792572,True,k
57,0.8966732621192932,True,m
13,0.7949302792549133,True,=
39,0.7607260942459106,True,R
9,0.7202737927436829,False,-
60,0.9669265747070312,True,p
60,0.9436156153678894,True,p
