cls,conf,correct,class
8,0.9696881175041199,True,+
68,0.9400348663330078,False,x
13,0.9246975183486938,True,=
68,0.8910737037658691,False,x
9,0.8854401111602783,False,-
68,0.8712952136993408,False,x
18,0.8305509090423584,False,1
19,0.7747517824172974,False,2
68,0.7570192217826843,False,x
9,0.7415915727615356,False,-
68,0.7391392588615417,False,x
9,0.7368131279945374,False,-
9,0.7092111110687256,False,-
9,0.6549500226974487,False,-
45,0.6323050260543823,False,a
19,0.6220699548721313,False,2
9,0.6035846471786499,False,-
13,0.5719799995422363,False,=
8,0.5549907684326172,True,+
68,0.5499679446220398,False,x
60,0.5351041555404663,False,p
9,0.521544873714447,False,-
9,0.5180549025535583,False,-
18,0.512516975402832,False,1
19,0.5024677515029907,False,2
8,0.49773353338241577,True,+
18,0.4905014634132385,False,1
19,0.48861557245254517,False,2
45,0.4561421871185303,False,a
45,0.4192505478858948,False,a
8,0.38379421830177307,False,+
9,0.3819914758205414,False,-
18,0.3550879955291748,False,1
9,0.33926141262054443,False,-
18,0.30995261669158936,False,1
19,0.2998247444629669,False,2
53,0.29022571444511414,False,i
18,0.28209635615348816,False,1
18,0.2769027054309845,False,1
19,0.2709571123123169,False,2
68,0.2666257321834564,False,x
19,0.2607063949108124,False,2
18,0.24575231969356537,False,1
68,0.2024907022714615,False,x
9,0.18205474317073822,False,-
19,0.17193277180194855,False,2
9,0.16338074207305908,False,-
9,0.15818248689174652,False,-
9,0.1445195972919464,False,-
9,0.14086464047431946,False,-
9,0.13880550861358643,False,-
19,0.13276757299900055,False,2
100,0.12593233585357666,False,\sqrt
58,0.11628654599189758,False,n
9,0.1154123991727829,False,-
45,0.11306972801685333,False,a
9,0.1109749898314476,False,-
1,0.9967842102050781,True,(
2,0.9961066842079163,True,)
13,0.9834558367729187,True,=
49,0.962118923664093,True,e
18,0.7879675030708313,True,1
47,0.7782939076423645,True,c
9,0.7028568983078003,False,-
66,0.3250715136528015,True,v
9,0.316743403673172,False,-
18,0.9966776371002197,True,1
2,0.9904113411903381,True,)
1,0.9895748496055603,True,(
9,0.9832075834274292,True,-
13,0.9727330803871155,True,=
2,0.9665213823318481,True,)
68,0.9651775360107422,True,x
68,0.9529457688331604,True,x
1,0.8990998864173889,False,(
65,0.8520588278770447,False,u
68,0.8160607814788818,True,x
100,0.7666685581207275,False,\sqrt
2,0.709317684173584,False,)
18,0.6829087734222412,False,1
68,0.6481587290763855,False,x
60,0.6206647753715515,True,p
45,0.6075822710990906,False,a
15,0.5767648816108704,False,","
18,0.5136443972587585,False,1
15,0.5101130604743958,False,","
18,0.47693389654159546,False,1
9,0.471032053232193,False,-
68,0.36985230445861816,False,x
19,0.33591610193252563,False,2
15,0.32078614830970764,False,","
18,0.29726889729499817,False,1
58,0.2834383249282837,False,n
18,0.24892060458660126,False,1
18,0.24428746104240417,False,1
15,0.2188103348016739,False,","
18,0.2075621783733368,False,1
9,0.19320626556873322,False,-
