cls,conf,correct,class
8,0.6556487679481506,True,+
13,0.6499443650245667,True,=
8,0.64387446641922,False,+
45,0.6256537437438965,False,a
9,0.569753885269165,False,-
60,0.5607571005821228,False,p
18,0.5240437388420105,False,1
18,0.49913284182548523,False,1
8,0.4868905544281006,False,+
8,0.4477057158946991,True,+
8,0.40404537320137024,False,+
68,0.3949801027774811,False,x
45,0.39098840951919556,False,a
68,0.3905515670776367,False,x
18,0.3301515579223633,False,1
18,0.32457563281059265,False,1
19,0.312093049287796,False,2
18,0.3103223443031311,False,1
17,0.2771204113960266,False,0
68,0.22510990500450134,False,x
9,0.2227381467819214,False,-
58,0.21333180367946625,False,n
58,0.1804414689540863,False,n
18,0.16451667249202728,False,1
45,0.12789632380008698,False,a
2,0.9992870688438416,True,)
13,0.9987316727638245,True,=
1,0.998630702495575,True,(
49,0.9614677429199219,True,e
47,0.8964073657989502,True,c
18,0.86980140209198,True,1
53,0.6274442076683044,False,i
2,0.9983996748924255,True,)
18,0.9978185892105103,True,1
1,0.9245830774307251,True,(
1,0.8665897846221924,True,(
67,0.8013170957565308,True,w
2,0.7881043553352356,True,)
13,0.7838665246963501,True,=
9,0.6811951994895935,True,-
1,0.5736262798309326,False,(
68,0.4443019926548004,False,x
1,0.4332331418991089,False,(
15,0.37991952896118164,False,","
68,0.29361656308174133,True,x
15,0.19300208985805511,False,","
21,0.18573905527591705,False,4
60,0.14581459760665894,True,p
68,0.11857866495847702,False,x
41,0.9973033666610718,True,T
41,0.9968973398208618,True,T
87,0.9676147103309631,True,\Delta
41,0.9255372881889343,True,T
13,0.8533723950386047,True,=
8,0.6160260438919067,True,+
17,0.27450838685035706,True,0
1,0.9978450536727905,True,(
2,0.9890502691268921,True,)
70,0.755847692489624,True,z
47,0.41376015543937683,False,c
51,0.9909138679504395,True,g
27,0.9830012321472168,True,A
57,0.9576983451843262,True,m
39,0.9549131989479065,True,R
55,0.8218792676925659,True,k
13,0.7056246399879456,True,=
9,0.6667477488517761,True,-
13,0.951108455657959,True,=
60,0.9128541350364685,True,p
65,0.8954955339431763,True,u
65,0.8295156955718994,True,u
9,0.7365168333053589,False,-
60,0.4465544819831848,True,p
9,0.44154584407806396,True,-
69,0.3626328110694885,False,y
58,0.1833384782075882,True,n
58,0.15193259716033936,True,n
23,0.9998358488082886,True,6
20,0.9998063445091248,True,3
72,0.9997939467430115,True,\pi
66,0.9228072762489319,True,v
63,0.884569525718689,True,s
9,0.8818601965904236,True,-
13,0.7612379789352417,True,=
20,0.3501816391944885,True,3
19,0.34459754824638367,True,2
61,0.27909308671951294,True,q
2,0.9890779852867126,True,)
1,0.9880234003067017,True,(
60,0.9578770399093628,True,p
18,0.6252380609512329,True,1
38,0.5540807843208313,False,P
57,0.5269989371299744,False,m
15,0.20992399752140045,True,","
15,0.14621756970882416,True,","
13,0.9990239143371582,True,=
2,0.997320830821991,True,)
41,0.9188467860221863,True,T
30,0.8852750658988953,True,E
17,0.7017706036567688,True,0
18,0.6181187033653259,False,1
1,0.27108991146087646,True,(
1,0.9981498718261719,True,(
2,0.9980204105377197,True,)
27,0.9919477105140686,True,A
18,0.967909038066864,True,1
13,0.9619526267051697,True,=
63,0.8141946196556091,False,s
18,0.7964285016059875,True,1
18,0.7682437300682068,True,1
28,0.7489761710166931,True,B
10,0.9801673293113708,True,\times
38,0.7282416224479675,False,P
61,0.4198961555957794,True,q
2,0.9923126101493835,True,)
1,0.9499869346618652,True,(
13,0.901049792766571,True,=
30,0.9001362323760986,True,E
2,0.8942941427230835,True,)
2,0.892695426940918,False,)
27,0.8594455718994141,True,A
50,0.8405880331993103,True,f
9,0.795451283454895,False,-
9,0.5208075046539307,False,-
1,0.5115503668785095,True,(
1,0.47503790259361267,True,(
64,0.4746444523334503,False,t
69,0.42172375321388245,False,y
32,0.35482800006866455,True,G
64,0.20302122831344604,False,t
18,0.9981580376625061,True,1
30,0.9967846870422363,True,E
30,0.9802649021148682,True,E
55,0.9201435446739197,True,k
15,0.644778847694397,True,","
15,0.5120746493339539,True,","
36,0.9997164607048035,True,M
62,0.9861530065536499,True,r
13,0.9666754007339478,True,=
1,0.9992932081222534,True,(
2,0.9990919828414917,True,)
1,0.9980425834655762,True,(
2,0.9930539727210999,True,)
28,0.9883887767791748,True,B
9,0.9726995825767517,False,-
64,0.9388399124145508,True,t
28,0.9236162900924683,True,B
63,0.5340511202812195,True,s
68,0.9981669187545776,True,x
87,0.9939671754837036,True,\Delta
68,0.9901660084724426,True,x
68,0.9890667200088501,True,x
18,0.6938247680664062,False,1
9,0.5239307880401611,True,-
13,0.28379470109939575,True,=
69,0.9983527660369873,True,y
68,0.9979926347732544,True,x
8,0.992846667766571,True,+
22,0.9626674652099609,False,5
13,0.9220244288444519,True,=
64,0.8840993046760559,True,t
36,0.9960153698921204,True,M
57,0.9697464108467102,True,m
19,0.8959125876426697,True,2
29,0.7736945152282715,False,C
